actor_1_name,actor_2_name,actor_3_name,director_name,genres,movie_title
CCH Pounder,Joel David Moore,Wes Studi,James Cameron,Action|Adventure|Fantasy|Sci-Fi,avatar
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: at world's end
Christoph Waltz,Rory Kinnear,Stephanie Sigman,Sam Mendes,Action|Adventure|Thriller,spectre
Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Christopher Nolan,Action|Thriller,the dark knight rises
Doug Walker,Rob Walker,unknown,Doug Walker,Documentary,star wars: episode vii - the force awakens            
Daryl Sabara,Samantha Morton,Polly Walker,Andrew Stanton,Action|Adventure|Sci-Fi,john carter
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Romance,spider-man 3
Brad Garrett,Donna Murphy,M.C. Gainey,Nathan Greno,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,tangled
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,avengers: age of ultron
Alan Rickman,Daniel Radcliffe,Rupert Grint,David Yates,Adventure|Family|Fantasy|Mystery,harry potter and the half-blood prince
Henry Cavill,Lauren Cohan,Alan D. Purwin,Zack Snyder,Action|Adventure|Sci-Fi,batman v superman: dawn of justice
Kevin Spacey,Marlon Brando,Frank Langella,Bryan Singer,Action|Adventure|Sci-Fi,superman returns
Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Marc Forster,Action|Adventure,quantum of solace
Johnny Depp,Orlando Bloom,Jack Davenport,Gore Verbinski,Action|Adventure|Fantasy,pirates of the caribbean: dead man's chest
Johnny Depp,Ruth Wilson,Tom Wilkinson,Gore Verbinski,Action|Adventure|Western,the lone ranger
Henry Cavill,Christopher Meloni,Harry Lennix,Zack Snyder,Action|Adventure|Fantasy|Sci-Fi,man of steel
Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Andrew Adamson,Action|Adventure|Family|Fantasy,the chronicles of narnia: prince caspian
Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Joss Whedon,Action|Adventure|Sci-Fi,the avengers
Johnny Depp,Sam Claflin,Stephen Graham,Rob Marshall,Action|Adventure|Fantasy,pirates of the caribbean: on stranger tides
Will Smith,Michael Stuhlbarg,Nicole Scherzinger,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,men in black 3
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: the battle of the five armies
Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb,Action|Adventure|Fantasy,the amazing spider-man
Mark Addy,William Hurt,Scott Grimes,Ridley Scott,Action|Adventure|Drama|History,robin hood
Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,Adventure|Fantasy,the hobbit: the desolation of smaug
Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz,Adventure|Family|Fantasy,the golden compass
Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson,Action|Adventure|Drama|Romance,king kong
Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron,Drama|Romance,titanic
Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo,Action|Adventure|Sci-Fi,captain america: civil war
Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg,Action|Adventure|Sci-Fi|Thriller,battleship
Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,Action|Adventure|Sci-Fi|Thriller,jurassic world
Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,Action|Adventure|Thriller,skyfall
J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,Action|Adventure|Fantasy|Romance,spider-man 2
Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,Action|Adventure|Sci-Fi,iron man 3
Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,Adventure|Family|Fantasy,alice in wonderland
Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: the last stand
Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,monsters university
Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,Action|Adventure|Sci-Fi,transformers: revenge of the fallen
Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,Action|Adventure|Sci-Fi,transformers: age of extinction
Tim Holmes,Mila Kunis,James Franco,Sam Raimi,Adventure|Family|Fantasy,oz the great and powerful
Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,the amazing spider-man 2
Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,Action|Adventure|Sci-Fi,tron: legacy
Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,Adventure|Animation|Comedy|Family|Sport,cars 2
Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,Action|Adventure|Sci-Fi,green lantern
Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,toy story 3
Christian Bale,Bryce Dallas Howard,Common,McG,Action|Adventure|Sci-Fi,terminator salvation
Jason Statham,Paul Walker,Vin Diesel,James Wan,Action|Crime|Thriller,furious 7
Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,world war z
Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,x-men: days of future past
Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,Action|Adventure|Sci-Fi,star trek into darkness
Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,Adventure|Fantasy,jack the giant slayer
Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann,Drama|Romance,the great gatsby
Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,Action|Adventure|Fantasy|Romance,prince of persia: the sands of time
Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,Action|Adventure|Sci-Fi,pacific rim
Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,Action|Adventure|Sci-Fi,transformers: dark of the moon
Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,Action|Adventure|Fantasy,indiana jones and the kingdom of the crystal skull
A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,the good dinosaur
Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,brave
Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,Action|Adventure|Sci-Fi|Thriller,star trek beyond
John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,wall·e
Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner,Action|Comedy|Crime|Thriller,rush hour 3
Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,Action|Adventure|Sci-Fi,2012
Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,Animation|Drama|Family|Fantasy,a christmas carol
Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,Action|Adventure|Sci-Fi,jupiter ascending
Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates,Action|Adventure|Drama|Romance,the legend of tarzan
Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,Adventure|Family|Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,Action|Adventure|Sci-Fi,x-men: apocalypse
Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,Action|Crime|Drama|Thriller,the dark knight
John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,Adventure|Animation|Comedy|Family,up
